player_code,pen_now,pen_prev,penalties_order,declared_first,prev_taker,either
248857,0.0,0.0,,0.0,0.0,0.0
248875,0.0,0.0,3.0,0.0,0.0,0.0
249231,0.0,0.0,,0.0,0.0,0.0
250199,0.0,0.0,,0.0,0.0,0.0
424044,0.0,0.0,,0.0,0.0,0.0
424876,1.0,0.0,2.0,0.0,0.0,0.0
427623,0.0,0.0,,0.0,0.0,0.0
427637,0.0,0.0,,0.0,0.0,0.0
428399,0.0,0.0,,0.0,0.0,0.0
428580,0.0,0.0,,0.0,0.0,0.0
429414,0.0,0.0,,0.0,0.0,0.0
430871,0.0,0.0,,0.0,0.0,0.0
431248,0.0,0.0,,0.0,0.0,0.0
431639,2.0,0.0,1.0,1.0,0.0,1.0
432422,0.0,0.0,,0.0,0.0,0.0
432714,0.0,0.0,5.0,0.0,0.0,0.0
432720,0.0,0.0,,0.0,0.0,0.0
432830,0.0,0.0,,0.0,0.0,0.0
432987,0.0,0.0,,0.0,0.0,0.0
433036,0.0,0.0,,0.0,0.0,0.0
433154,0.0,0.0,,0.0,0.0,0.0
433312,0.0,0.0,,0.0,0.0,0.0
433979,0.0,1.0,,0.0,0.0,0.0
434399,0.0,0.0,,0.0,0.0,0.0
434752,0.0,0.0,,0.0,0.0,0.0
435973,0.0,0.0,,0.0,0.0,0.0
435997,0.0,0.0,,0.0,0.0,0.0
436680,0.0,0.0,,0.0,0.0,0.0
436893,0.0,0.0,,0.0,0.0,0.0
437495,0.0,0.0,,0.0,0.0,0.0
437499,0.0,0.0,,0.0,0.0,0.0
437505,0.0,0.0,,0.0,0.0,0.0
437730,2.0,0.0,,0.0,0.0,0.0
437738,0.0,0.0,,0.0,0.0,0.0
437748,0.0,0.0,,0.0,0.0,0.0
438234,0.0,0.0,2.0,0.0,0.0,0.0
438464,0.0,0.0,,0.0,0.0,0.0
439135,0.0,0.0,,0.0,0.0,0.0
440089,0.0,0.0,,0.0,0.0,0.0
440323,0.0,0.0,,0.0,0.0,0.0
