player_code,season,x,nx,pos,si,y,ny,pos_pred,w,player_pred,flat90,delta_vs_pos
85624,2018-19,89.23529411764706,17,DEF,2,88.16,25,87.5,0.747742375132532,88.79755294508291,90.0,1.2975529450829129
85633,2023-24,90.0,16,GK,7,90.0,38,89.9,0.736136374297603,89.97361363742976,90.0,0.07361363742975868
85633,2024-25,90.0,38,GK,8,90.0,29,89.9,0.8688672781338241,89.98688672781338,90.0,0.08688672781337914
85955,2018-19,85.29729729729729,37,MID,2,84.70370370370371,27,83.1,0.8657987767774127,85.00241731221631,90.0,1.9024173122163148
85955,2019-20,84.70370370370371,27,MID,3,83.77272727272727,22,83.1,0.8248026562634164,84.4227390746743,90.0,1.3227390746743026
85955,2020-21,83.77272727272727,22,MID,4,85.76,25,83.1,0.7932186122041907,83.63361979366464,90.0,0.5336197936646414
85955,2021-22,85.76,25,MID,5,84.80952380952381,21,83.1,0.8134021840999093,85.26364980970577,90.0,2.163649809705774
85955,2022-23,84.80952380952381,21,MID,6,77.5,10,83.1,0.7854841596035032,84.44280387284599,90.0,1.342803872845991
85971,2016-17,81.9090909090909,22,MID,0,78.4074074074074,27,83.1,0.7932186122041907,82.15534874364774,90.0,-0.9446512563522589
85971,2017-18,78.4074074074074,27,MID,1,83.45454545454545,22,83.1,0.8248026562634164,79.2295371648676,90.0,-3.8704628351324004
85971,2018-19,83.45454545454545,22,MID,2,85.28571428571429,28,83.1,0.7932186122041907,83.38123205341785,90.0,0.2812320534178525
85971,2019-20,85.28571428571429,28,MID,3,88.55882352941177,34,83.1,0.829995980948208,84.91413407264395,90.0,1.8141340726439523
85971,2020-21,88.55882352941177,34,MID,4,85.97142857142858,35,83.1,0.855666585386568,87.77093288963961,90.0,4.670932889639616
85971,2021-22,85.97142857142858,35,MID,5,85.51515151515152,33,83.1,0.8592098049585397,85.56715958280952,90.0,2.467159582809529
85971,2022-23,85.51515151515152,33,MID,6,86.33333333333333,33,83.1,0.8519404196346568,85.15756519529945,90.0,2.0575651952994605
85971,2023-24,86.33333333333333,33,MID,7,83.04761904761905,21,83.1,0.8519404196346568,85.85460735681872,90.0,2.754607356818724
86153,2018-19,90.0,24,DEF,2,82.85,20,87.5,0.8071268463216613,89.51781711580415,90.0,2.0178171158041494
86417,2016-17,85.54545454545455,11,DEF,0,85.35,20,87.5,0.6573009993574788,86.21527531943765,90.0,-1.2847246805623485
86417,2017-18,85.35,20,DEF,1,85.88235294117646,17,87.5,0.7771486250823768,85.82913045607289,90.0,-1.670869543927111
86417,2018-19,85.88235294117646,17,DEF,2,82.9,10,87.5,0.747742375132532,86.29041674610913,90.0,-1.2095832538908695
86417,2019-20,82.9,10,MID,3,81.21428571428571,14,83.1,0.635521733076294,82.97289565338474,90.0,-0.12710434661525483
86417,2020-21,81.21428571428571,14,MID,4,85.47368421052632,19,83.1,0.7093958374782874,81.76228213504095,90.0,-1.3377178649590462
86417,2021-22,85.47368421052632,19,MID,5,81.33333333333333,30,83.1,0.7681391063467261,84.923319668223,90.0,1.8233196682230073
86417,2022-23,81.33333333333333,30,MID,6,75.64285714285714,14,83.1,0.8395106600310144,81.61686450061188,90.0,-1.483135499388112
86881,2020-21,82.375,16,MID,4,84.36363636363636,11,83.1,0.736136374297603,82.56630112863424,90.0,-0.5336988713657576
86934,2016-17,86.20689655172414,29,MID,0,85.0,22,83.1,0.8348902810601913,85.69391773529391,90.0,2.593917735293914
87428,2017-18,81.5,14,MID,1,84.9090909090909,11,83.1,0.7093958374782874,81.96496666003475,90.0,-1.135033339965247
87835,2018-19,87.97058823529412,34,DEF,2,88.13793103448276,29,87.5,0.855666585386568,87.90266662841721,90.0,0.402666628417208
87835,2019-20,88.13793103448276,29,DEF,3,88.84615384615384,13,87.5,0.8348902810601913,88.03260242067633,90.0,0.5326024206763265
87873,2020-21,89.73684210526316,38,DEF,4,89.59375,32,87.5,0.8688672781338241,89.44351891161513,90.0,1.9435189116151292
88482,2017-18,82.8695652173913,23,FWD,1,77.3,10,81.5,0.8004147369923426,82.59622018327211,90.0,1.0962201832721092
88894,2018-19,77.27272727272727,11,MID,2,77.8,10,83.1,0.6573009993574788,79.26972781283504,90.0,-3.830272187164951
88894,2019-20,77.8,10,MID,3,80.82352941176471,17,83.1,0.635521733076294,79.73173481469564,90.0,-3.3682651853043524
88900,2016-17,89.6875,16,DEF,0,90.0,22,87.5,0.736136374297603,89.110298318776,90.0,1.6102983187760032
88900,2017-18,90.0,22,DEF,1,90.0,17,87.5,0.7932186122041907,89.48304653051048,90.0,1.983046530510478
88900,2018-19,90.0,17,DEF,2,89.11111111111111,27,87.5,0.747742375132532,89.36935593783133,90.0,1.8693559378313296
88900,2019-20,89.11111111111111,27,DEF,3,87.76470588235294,17,87.5,0.8248026562634164,88.82884872397995,90.0,1.3288487239799451
90105,2016-17,82.5,18,MID,0,86.27272727272727,22,83.1,0.7583704151151263,82.64497775093092,90.0,-0.4550222490690743
90105,2017-18,86.27272727272727,22,MID,1,86.55555555555556,36,83.1,0.7932186122041907,85.61666632417511,90.0,2.5166663241751195
90105,2018-19,86.55555555555556,36,MID,2,88.33333333333333,21,83.1,0.8625832288761219,86.08070426867192,90.0,2.9807042686719285
90152,2021-22,90.0,20,DEF,5,88.4,20,87.5,0.7771486250823768,89.44287156270595,90.0,1.942871562705946
90152,2022-23,88.4,20,DEF,6,89.6923076923077,13,87.5,0.7771486250823768,88.19943376257415,90.0,0.6994337625741451
90585,2018-19,90.0,35,DEF,2,90.0,22,87.5,0.8592098049585397,89.64802451239635,90.0,2.148024512396347
90585,2019-20,90.0,22,DEF,3,89.47619047619048,21,87.5,0.7932186122041907,89.48304653051048,90.0,1.983046530510478
90585,2020-21,89.47619047619048,21,DEF,4,90.0,10,87.5,0.7854841596035032,89.05226631540692,90.0,1.552266315406925
91047,2018-19,79.38461538461539,13,MID,2,84.83333333333333,18,83.1,0.6938846251416729,80.5219517388967,90.0,-2.578048261103291
91047,2019-20,84.83333333333333,18,MID,3,86.0,32,83.1,0.7583704151151263,84.41450871953288,90.0,1.3145087195328813
91047,2020-21,86.0,32,MID,4,86.35714285714286,14,83.1,0.8480167631939919,85.55924861326257,90.0,2.4592486132625737
91047,2021-22,86.35714285714286,14,MID,5,71.58333333333333,12,83.1,0.7093958374782874,85.41060358492928,90.0,2.3106035849292823
91651,2018-19,74.27777777777777,18,MID,2,85.04761904761905,21,83.1,0.7583704151151263,76.40948767109543,90.0,-6.6905123289045605
91651,2019-20,85.04761904761905,21,MID,3,83.10526315789474,19,83.1,0.7854841596035032,84.62982391084682,90.0,1.5298239108468294
91651,2020-21,83.10526315789474,19,MID,4,85.46666666666667,15,83.1,0.7681391063467261,83.10404283740183,90.0,0.004042837401840416
91651,2021-22,85.46666666666667,15,MID,5,83.58823529411765,17,83.1,0.7234109190985335,84.81207250853319,90.0,1.712072508533197
91651,2022-23,83.58823529411765,17,MID,6,80.52941176470588,17,83.1,0.747742375132532,83.46507421844706,90.0,0.365074218447063
91651,2023-24,80.52941176470588,17,MID,7,84.25,24,83.1,0.747742375132532,81.17786224745343,90.0,-1.9221377525465613
92217,2016-17,88.73529411764706,34,MID,0,83.21875,32,83.1,0.855666585386568,87.92193287529606,90.0,4.821932875296071
92217,2017-18,83.21875,32,FWD,1,83.73333333333333,30,81.5,0.8480167631939919,82.95752881173968,90.0,1.457528811739678
92217,2018-19,83.73333333333333,30,FWD,2,84.11764705882354,34,81.5,0.8395106600310144,83.37490714073593,90.0,1.8749071407359281
92217,2019-20,84.11764705882354,34,FWD,3,84.8125,32,81.5,0.855666585386568,83.73983312057072,90.0,2.2398331205707223
93100,2018-19,88.1304347826087,23,DEF,2,89.25,16,87.5,0.8004147369923426,88.00460929071257,90.0,0.5046092907125654
93100,2019-20,89.25,16,DEF,3,90.0,28,87.5,0.736136374297603,88.7882386550208,90.0,1.2882386550208054
93264,2016-17,89.03030303030303,33,MID,0,87.65625,32,83.1,0.8519404196346568,88.15226485219705,90.0,5.052264852197055
93264,2017-18,87.65625,32,MID,1,85.11764705882354,17,83.1,0.8480167631939919,86.96377637730262,90.0,3.863776377302628
