season,team,opp,md,rest,opp_rest,rest_diff,resid
1516,Crystal Palace,Bournemouth,18,7.0,7.0,0.0,-0.5922082736408817
1516,Crystal Palace,Swansea,19,2.0,2.0,0.0,-0.5534024557164627
1516,Crystal Palace,Chelsea,20,5.0,5.0,0.0,-0.48170170467330975
1516,Crystal Palace,Aston Villa,21,9.0,10.0,-1.0,-0.5666156625825317
1516,Crystal Palace,Man City,22,3.0,2.0,1.0,-0.12777442672912454
1516,Crystal Palace,Tottenham,23,7.0,7.0,0.0,0.05152211977726562
1516,Crystal Palace,Bournemouth,24,10.0,10.0,0.0,0.4023784059713329
1516,Crystal Palace,Swansea,25,3.0,3.0,0.0,-0.037456411742277096
1516,Crystal Palace,Watford,26,7.0,7.0,0.0,-0.14719315718984038
1516,Crystal Palace,West Brom,27,14.0,14.0,0.0,0.26001288774490194
1516,Crystal Palace,Sunderland,28,3.0,3.0,0.0,-0.17776105849653345
1516,Crystal Palace,Liverpool,29,4.0,3.0,1.0,0.5605114168460565
1516,Crystal Palace,Leicester,30,13.0,5.0,8.0,-0.25359707348966454
1516,Crystal Palace,West Ham,31,13.0,13.0,0.0,0.6587907717452937
1516,Crystal Palace,Norwich,32,7.0,7.0,0.0,0.1813100487285959
1516,Crystal Palace,Everton,33,4.0,4.0,0.0,0.3493888701467769
1516,Crystal Palace,Arsenal,34,3.0,8.0,-5.0,-0.3923878203542037
1516,Crystal Palace,Man United,35,3.0,4.0,-1.0,-0.6324751371009647
1516,Crystal Palace,Newcastle,36,9.0,7.0,2.0,-0.7524961810984061
1516,Crystal Palace,Stoke,37,7.0,7.0,0.0,0.06465954357210957
1516,Crystal Palace,Southampton,38,8.0,7.0,1.0,0.3697176640873515
1516,Everton,Southampton,2,6.0,5.0,1.0,0.25688516598515454
1516,Everton,Man City,3,8.0,7.0,1.0,-0.5974473361339333
1516,Everton,Tottenham,4,6.0,7.0,-1.0,-0.2360435432136162
1516,Everton,Chelsea,5,13.0,13.0,0.0,-0.1527586691927214
1516,Everton,Swansea,6,7.0,7.0,0.0,0.4105685940017627
1516,Everton,West Brom,7,9.0,9.0,0.0,1.0617005412167202
1516,Everton,Liverpool,8,5.0,7.0,-2.0,0.06169379145534615
1516,Everton,Man United,9,13.0,12.0,1.0,-0.5690233490047074
1516,Everton,Arsenal,10,7.0,7.0,0.0,-0.49325999000530046
1516,Everton,Sunderland,11,7.0,7.0,0.0,0.6571157496572064
1516,Everton,West Ham,12,6.0,7.0,-1.0,-0.2046087804730441
1516,Everton,Aston Villa,13,14.0,13.0,1.0,1.0609630585371914
1516,Everton,Bournemouth,14,7.0,7.0,0.0,-0.5640679537267702
1516,Everton,Crystal Palace,15,9.0,9.0,0.0,0.09823409546617756
1516,Everton,Norwich,16,4.0,6.0,-2.0,1.092323770212407
1516,Everton,Leicester,17,7.0,4.0,3.0,0.14417983743084584
1516,Everton,Newcastle,18,7.0,7.0,0.0,0.34816661557119355
1516,Everton,Stoke,19,1.0,2.0,-1.0,0.6268607082790365
