season,player_code,role,dc,hit,mins,opp_str,own_str,conceded,is_home
2025-2026,247955,FB,2.0,0.0,90,1.7197222222222224,1.0265625,1.0,True
2025-2026,444463,CB,7.0,0.0,61,1.0117021276595746,1.7587671232876714,2.0,False
2025-2026,487676,FB,3.0,0.0,90,1.7197222222222224,1.0265625,1.0,True
2025-2026,434399,CB,8.0,0.0,90,1.7197222222222224,1.0265625,1.0,True
2025-2026,200834,CB,12.0,1.0,90,1.7197222222222224,1.0265625,1.0,True
2025-2026,482609,FB,7.0,0.0,84,1.0117021276595746,1.7587671232876714,2.0,False
2025-2026,167512,CB,4.0,0.0,90,1.7197222222222224,1.0265625,1.0,True
2025-2026,78916,CB,5.0,0.0,83,1.2529139072847681,1.461830985915493,2.0,False
2025-2026,465642,CB,6.0,0.0,90,1.2529139072847681,1.461830985915493,2.0,False
2025-2026,487838,FB,7.0,0.0,90,1.2529139072847681,1.461830985915493,2.0,False
2025-2026,169528,FB,7.0,0.0,90,1.5206081081081082,1.270763358778626,0.0,True
2025-2026,219924,CB,5.0,0.0,85,1.5206081081081082,1.270763358778626,0.0,True
2025-2026,232892,CB,6.0,0.0,90,1.5206081081081082,1.270763358778626,0.0,True
2025-2026,220237,CB,11.0,1.0,90,1.2529139072847681,1.461830985915493,2.0,False
2025-2026,166477,FB,6.0,0.0,90,1.5206081081081082,1.270763358778626,0.0,True
2025-2026,54469,FB,6.0,0.0,89,1.1952777777777779,1.598169014084507,1.0,False
2025-2026,227444,CB,10.0,1.0,90,1.6012587412587411,1.1928571428571428,1.0,True
2025-2026,221466,CB,7.0,0.0,90,1.1952777777777779,1.598169014084507,1.0,False
2025-2026,463981,CB,10.0,1.0,90,1.1952777777777779,1.598169014084507,1.0,False
2025-2026,485047,CB,12.0,1.0,90,1.6012587412587411,1.1928571428571428,1.0,True
2025-2026,215136,FB,8.0,0.0,90,1.6012587412587411,1.1928571428571428,1.0,True
2025-2026,575458,CB,3.0,0.0,62,1.6012587412587411,1.1928571428571428,1.0,True
2025-2026,494521,FB,9.0,0.0,90,1.1952777777777779,1.598169014084507,1.0,False
2025-2026,57328,FB,8.0,0.0,90,1.6668918918918918,1.561027397260274,2.0,True
2025-2026,500040,CB,10.0,1.0,90,1.5676973684210527,1.7187234042553192,1.0,False
2025-2026,499169,FB,1.0,0.0,90,1.5676973684210527,1.7187234042553192,1.0,False
2025-2026,515621,CB,12.0,1.0,90,1.6668918918918918,1.561027397260274,2.0,True
2025-2026,448104,CB,5.0,0.0,90,1.5676973684210527,1.7187234042553192,1.0,False
2025-2026,544877,FB,11.0,1.0,90,1.6668918918918918,1.5653225806451612,0.0,True
2025-2026,97032,CB,10.0,1.0,90,1.6668918918918918,1.5653225806451612,0.0,True
2025-2026,204716,CB,7.0,0.0,78,1.6668918918918918,1.5653225806451612,0.0,True
2025-2026,466075,CB,10.0,1.0,90,1.6056953642384106,1.7187234042553192,1.0,False
2025-2026,445122,FB,11.0,1.0,90,1.6056953642384106,1.7187234042553192,1.0,False
2025-2026,500040,CB,12.0,1.0,85,1.6056953642384106,1.7187234042553192,1.0,False
2025-2026,226597,CB,9.0,0.0,90,1.6056953642384106,1.7187234042553192,1.0,False
