player,pos,team,cost,own,0.0,0.25,0.5,0.75,1.0,range
N.Gonzalez,MID,Man City,5.5,0.1,14.961,14.028,13.831,13.729,13.516,1.445
Schär,DEF,Newcastle,5.0,0.0,14.887,13.867,13.892,14.576,14.457,1.02
Sánchez,GK,Chelsea,5.0,2.1,14.771,15.164,15.297,15.315,15.605,0.835
Digne,DEF,Aston Villa,4.5,1.5,14.567,14.163,14.455,14.971,14.943,0.808
Ødegaard,MID,Arsenal,6.5,2.7,14.522,16.167,17.235,18.805,19.316,4.794
Kluivert,MID,Bournemouth,6.0,0.8,14.498,15.793,16.194,16.773,17.391,2.893
Smith Rowe,MID,Fulham,5.5,0.4,14.478,14.476,14.811,14.604,14.727,0.335
Dorgu,MID,Man United,6.0,2.1,14.477,14.199,14.032,13.957,14.147,0.52
Lukić,MID,Fulham,5.0,0.1,14.391,13.838,13.768,13.933,13.738,0.653
Mainoo,MID,Man United,5.5,1.2,14.373,13.101,12.999,12.949,12.87,1.503
Kerkez,DEF,Liverpool,5.5,7.5,14.315,14.296,14.959,15.327,15.539,1.243
Joelinton,MID,Newcastle,5.5,0.0,14.314,13.987,13.459,13.744,14.134,0.855
Igor Jesus,FWD,Nott'm Forest,6.0,3.6,14.3,14.245,14.272,14.2,14.335,0.135
Garnacho,MID,Chelsea,6.0,0.8,14.245,14.961,15.443,16.378,15.723,2.133
Mosquera,DEF,Arsenal,5.5,13.7,14.179,14.05,14.003,14.023,13.96,0.219
Brobbey,FWD,Sunderland,6.0,19.2,13.956,13.677,14.058,13.903,13.916,0.381
Petrović,GK,Bournemouth,4.5,4.1,13.94,13.847,13.91,13.876,13.765,0.176
Mount,MID,Man United,5.5,0.1,13.94,14.14,13.937,14.105,14.298,0.36
Wilson,FWD,Brentford,5.5,0.4,13.933,13.421,12.959,12.592,11.52,2.413
Pope,GK,Newcastle,5.0,1.1,13.915,14.591,14.828,14.998,15.391,1.476
P.M.Sarr,MID,Tottenham,5.0,0.4,13.819,12.088,11.268,11.098,11.033,2.786
Lewis,DEF,Man City,4.5,0.2,13.655,14.67,15.605,15.884,16.388,2.733
Madueke,MID,Arsenal,6.5,0.3,13.636,16.103,17.962,19.565,21.005,7.369
Lewis-Potter,MID,Brentford,5.5,0.9,13.633,14.744,15.299,15.291,15.82,2.187
Savinho,MID,Man City,6.5,0.1,13.615,15.54,16.569,17.939,19.067,5.453
Kudus,MID,Tottenham,6.5,0.4,13.542,13.831,14.173,14.662,15.145,1.603
Martinelli,MID,Arsenal,6.5,0.3,13.501,15.415,17.04,17.632,18.925,5.424
Spence,DEF,Tottenham,4.5,9.8,13.439,13.336,13.01,13.056,12.818,0.621
Lerma,MID,Crystal Palace,5.0,0.1,13.405,12.259,11.506,11.546,11.493,1.912
J.Cuenca,DEF,Fulham,4.5,0.0,13.313,12.805,12.474,12.047,11.84,1.473
Cook,MID,Bournemouth,5.0,0.1,13.258,12.181,12.377,12.726,12.902,1.077
Delap,FWD,Chelsea,5.5,0.5,13.218,14.253,14.89,16.0,15.969,2.782
De Cuyper,DEF,Brighton,4.5,2.6,13.212,13.165,13.049,13.304,13.045,0.259
Vicario,GK,Tottenham,4.5,1.8,13.19,13.557,13.653,13.914,13.933,0.743
Hutchinson,MID,Nott'm Forest,5.5,0.2,13.18,13.504,14.321,14.593,15.01,1.83
Frimpong,DEF,Liverpool,5.5,3.1,13.159,12.835,13.159,13.103,12.954,0.324
Dubravka,GK,Tottenham,4.0,23.1,13.117,13.143,13.322,13.264,13.468,0.351
Baleba,MID,Brighton,5.0,0.5,13.041,12.353,12.408,12.543,13.039,0.687
J.Ramsey,MID,Newcastle,5.0,0.4,12.989,12.665,12.511,12.404,12.424,0.585
Awoniyi,FWD,Nott'm Forest,5.5,0.4,12.985,12.483,11.913,11.73,11.87,1.255
McNeil,MID,Everton,5.5,0.1,12.948,13.162,13.669,13.895,14.327,1.378
Mazraoui,DEF,Man United,4.5,0.9,12.909,13.053,13.969,14.106,14.446,1.536
Adli,MID,Bournemouth,5.0,0.2,12.867,12.685,12.936,12.813,12.508,0.428
Bobb,MID,Fulham,5.5,0.5,12.835,12.867,12.518,12.47,12.29,0.576
Wissa,FWD,Newcastle,6.0,1.5,12.781,16.8,19.32,21.296,22.889,10.107
Livramento,DEF,Newcastle,5.0,0.1,12.721,12.396,12.151,12.544,12.413,0.57
Alcaraz,MID,Everton,5.0,0.1,12.684,12.237,12.154,12.543,12.394,0.53
Christie,MID,Bournemouth,5.0,0.2,12.683,12.554,12.842,13.298,13.704,1.151
Muniz,FWD,Fulham,5.5,0.9,12.677,12.403,12.387,12.415,12.522,0.29
Iroegbunam,MID,Everton,5.0,0.1,12.668,11.847,11.205,10.533,10.188,2.479
Kamara,MID,Aston Villa,5.0,0.1,12.639,11.498,10.908,10.619,10.546,2.093
Nmecha,FWD,Leeds,5.5,0.7,12.465,11.985,12.529,12.408,12.128,0.544
Barkley,MID,Aston Villa,5.0,0.1,12.465,12.05,11.819,11.645,11.29,1.174
Ngumoha,MID,Liverpool,6.0,1.8,12.425,12.588,12.317,12.665,12.406,0.348
Tel,MID,Tottenham,6.0,0.2,12.383,12.697,13.051,13.387,13.597,1.214
Andrey Santos,MID,Man United,5.0,1.6,12.371,12.201,12.334,12.155,12.507,0.352
Udogie,DEF,Tottenham,4.5,0.4,12.353,12.123,12.157,12.62,12.719,0.596
Zirkzee,FWD,Man United,5.5,0.3,12.33,12.605,12.564,12.901,13.111,0.78
King,MID,Fulham,5.5,0.1,12.246,11.796,11.77,11.61,11.459,0.786
Strand Larsen,FWD,Crystal Palace,6.0,0.7,12.196,13.413,14.067,14.77,15.285,3.089
Darlow,GK,Man United,4.5,0.1,12.172,12.209,12.241,12.108,12.3,0.191
Henderson,GK,Crystal Palace,5.0,3.1,12.067,12.28,12.25,12.481,12.545,0.478
Hato,DEF,Chelsea,4.5,0.9,12.014,12.006,12.0,11.818,11.733,0.282
Gray,MID,Tottenham,5.0,0.2,11.938,11.005,10.726,10.611,10.577,1.361
Marmoush,FWD,Man City,7.0,0.5,11.93,13.803,15.085,16.51,17.52,5.59
Georginio,FWD,Brighton,5.5,1.0,11.908,12.549,12.545,12.892,13.313,1.405
Nketiah,FWD,Crystal Palace,5.5,0.4,11.901,11.928,12.371,12.254,12.41,0.509
Hudson-Odoi,MID,Nott'm Forest,6.0,0.0,11.868,11.348,11.299,11.576,11.756,0.569
Longstaff,MID,Leeds,5.0,0.1,11.856,10.596,9.983,9.55,9.222,2.634
Willock,MID,Newcastle,5.0,0.1,11.718,11.164,10.789,10.625,10.449,1.269
Heaven,DEF,Man United,4.5,0.4,11.666,11.308,11.231,10.837,10.778,0.888
Tosin,DEF,Chelsea,4.5,0.2,11.495,11.153,10.995,10.533,10.914,0.962
Guessand,MID,Aston Villa,5.5,0.0,11.491,11.578,11.713,11.433,11.539,0.28
Gruev,MID,Leeds,5.0,0.0,11.353,11.318,11.144,11.321,11.082,0.271
Elanga,MID,Newcastle,6.0,0.6,11.313,12.711,13.453,14.126,14.492,3.179
Henry,DEF,Brentford,4.5,0.2,11.302,10.687,10.706,10.528,10.209,1.093
Tanaka,MID,Leeds,5.0,0.3,11.207,11.354,11.537,11.574,11.528,0.367
Ndoye,MID,Nott'm Forest,5.5,0.6,11.207,11.337,11.375,11.423,11.296,0.216
Talbi,MID,Sunderland,5.5,0.3,11.151,11.161,11.167,11.176,11.24,0.09
Johnson,MID,Crystal Palace,6.0,0.1,11.032,12.52,13.425,14.375,14.607,3.575
George,MID,Everton,5.5,0.1,10.977,10.671,10.593,10.309,10.18,0.797
Boscagli,DEF,Brighton,4.5,0.1,10.961,11.015,10.704,10.734,10.903,0.311
Bailey,MID,Aston Villa,5.5,0.1,10.947,11.237,11.79,11.801,11.973,1.026
Gittens,MID,Chelsea,6.0,0.0,10.945,11.061,10.785,10.837,10.59,0.47
Dominguez,MID,Nott'm Forest,5.0,0.1,10.87,10.564,10.38,10.641,10.57,0.489
Henderson,MID,Brentford,5.0,0.0,10.84,10.717,10.76,10.784,10.957,0.24
Hughes,MID,Crystal Palace,4.5,8.8,10.743,10.836,10.843,11.024,10.681,0.343
G.Jesus,FWD,Arsenal,6.0,0.2,10.683,11.472,12.126,12.365,12.859,2.177
Adingra,MID,Sunderland,5.0,0.4,10.666,10.88,10.858,11.053,10.993,0.387
Kevin,MID,Fulham,5.5,0.1,10.597,10.588,10.847,10.677,10.745,0.259
Jair Cunha,DEF,Nott'm Forest,4.5,1.3,10.342,10.355,10.322,9.925,10.335,0.43
Diakité,DEF,Bournemouth,5.0,0.2,10.244,9.881,10.34,10.174,9.979,0.459
Chadi Riad,DEF,Crystal Palace,4.5,0.1,10.24,10.258,10.551,10.291,10.317,0.311
Hickey,DEF,Brentford,4.5,0.1,10.184,9.996,10.051,9.995,10.054,0.189
Bergvall,MID,Tottenham,5.5,0.2,10.181,9.824,9.734,9.392,9.705,0.789
Robertson,DEF,Tottenham,4.5,1.9,10.153,11.122,11.751,12.531,12.867,2.713
B.Badiashile,DEF,Chelsea,4.5,0.0,10.08,10.039,9.631,9.965,9.508,0.572
Isidor,FWD,Sunderland,5.5,1.5,10.056,9.996,10.125,10.11,10.168,0.173
Chiesa,MID,Liverpool,5.5,0.1,10.021,10.094,10.22,9.911,9.993,0.309
Armstrong,MID,Everton,5.0,0.1,9.982,10.112,9.89,10.14,9.909,0.25
Gomez,DEF,Liverpool,5.0,0.2,9.981,9.638,9.985,9.809,9.777,0.347
Acheampong,DEF,Chelsea,4.5,0.2,9.964,10.262,10.18,10.237,10.104,0.298
Mundle,MID,Sunderland,5.0,0.0,9.891,10.306,10.07,10.035,10.113,0.415
James,MID,Leeds,5.0,0.1,9.775,9.786,9.747,9.706,9.871,0.165
Lavia,MID,Chelsea,5.0,0.0,9.744,9.373,9.138,9.232,9.207,0.606
Kostoulas,FWD,Brighton,5.5,0.3,9.712,9.702,9.995,10.162,9.904,0.46
Bakwa,MID,Nott'm Forest,5.5,0.0,9.69,9.678,9.542,9.671,9.492,0.198
Lindelöf,DEF,Aston Villa,4.5,0.1,9.655,9.255,9.478,9.111,9.249,0.544
Cairney,MID,Fulham,5.0,0.0,9.555,9.229,8.925,9.003,9.134,0.63
Röhl,MID,Everton,5.0,0.1,9.425,9.215,9.333,9.403,9.412,0.21
Tchaouna,MID,Coventry,5.5,0.1,9.383,9.419,9.458,9.459,9.395,0.076
Smith,DEF,Bournemouth,4.5,0.1,9.059,9.238,9.386,9.988,10.282,1.223
Rigg,MID,Sunderland,5.0,0.1,8.962,8.96,8.968,8.895,9.065,0.171
