rank,player,pos,team,status,cost_m,own,nfix,exp_starts,mean,sd,p5,p25,median,p75,p95,pts_per_fix,pts_per_m,p_ceiling,p_floor,cold_start,adj_delta,adj_total,gw_from,gw_to,id
305.0,Dominguez,MID,Nott'm Forest,projected,5.0,0.1,6,2.73,10.793,7.182,2.0,6.0,10.0,14.0,24.018,1.799,2.159,0.007,0.653,False,0.0,10.793,1,6,487
306.0,Souza,DEF,Tottenham,projected,4.0,0.3,6,2.65,10.776,10.159,1.0,4.0,8.358,14.358,28.689,1.796,2.694,0.023,0.669,True,0.0,10.776,1,6,-1
307.0,Yohanna,MID,Brighton,projected,5.0,0.1,6,2.63,10.753,10.091,1.0,5.0,9.0,13.0,30.075,1.792,2.151,0.031,0.714,True,0.0,10.753,1,6,-1
308.0,Piroe,FWD,Leeds,projected,5.0,0.5,6,2.43,10.753,10.932,1.0,3.0,8.0,14.353,31.816,1.792,2.151,0.042,0.7,True,0.0,10.753,1,6,-1
309.0,Tchaouna,MID,Coventry,projected,5.5,0.1,6,2.93,10.75,8.988,1.0,5.0,9.0,14.0,25.103,1.792,1.955,0.023,0.687,True,0.0,10.75,1,6,-1
310.0,Estêvão,MID,Chelsea,projected,6.5,1.8,6,2.04,10.732,9.524,0.0,4.0,8.627,15.28,28.362,1.789,1.651,0.026,0.63,False,0.0,10.732,1,6,157
311.0,Fredricson,DEF,Man United,projected,4.0,0.1,6,2.65,10.716,8.581,1.0,4.0,9.358,15.717,25.689,1.786,2.679,0.008,0.618,True,0.0,10.716,1,6,-1
312.0,A.Murphy,DEF,Newcastle,projected,4.0,0.8,6,2.65,10.71,10.568,1.0,4.0,8.896,14.358,26.86,1.785,2.678,0.022,0.66,True,0.0,10.71,1,6,-1
313.0,Akpom,FWD,Ipswich,projected,5.0,0.5,6,2.43,10.675,10.524,0.0,4.0,8.0,13.78,30.413,1.779,2.135,0.031,0.698,True,0.0,10.675,1,6,-1
314.0,O.Richards,DEF,Nott'm Forest,projected,4.0,0.2,6,2.65,10.666,9.311,0.0,4.0,8.358,15.358,26.429,1.778,2.667,0.014,0.637,True,0.0,10.666,1,6,-1
315.0,Doucouré,MID,Crystal Palace,projected,5.0,0.1,6,2.63,10.646,9.764,1.0,5.0,8.0,13.358,28.075,1.774,2.129,0.025,0.709,True,0.0,10.646,1,6,-1
316.0,Tel,MID,Tottenham,projected,6.0,0.4,6,2.18,10.636,7.067,2.0,5.0,9.0,14.358,23.363,1.773,1.773,0.008,0.649,False,0.0,10.636,1,6,514
317.0,Nørgaard,MID,Arsenal,projected,5.0,0.3,6,2.63,10.636,10.523,1.0,4.0,9.0,13.358,26.735,1.773,2.127,0.026,0.708,True,0.0,10.636,1,6,-1
318.0,Masuaku,DEF,Sunderland,projected,4.0,1.4,6,2.65,10.616,9.561,0.0,4.0,8.896,14.717,26.735,1.769,2.654,0.018,0.655,True,0.0,10.616,1,6,-1
319.0,J.Ramsey,MID,Newcastle,projected,5.0,0.5,6,2.45,10.61,6.76,2.0,6.0,9.0,14.254,23.717,1.768,2.122,0.005,0.667,False,0.0,10.61,1,6,456
320.0,Crooks,MID,Hull,projected,4.5,0.7,6,2.32,10.594,9.987,1.0,4.0,8.358,14.358,27.717,1.766,2.354,0.021,0.656,True,0.0,10.594,1,6,-1
321.0,Schlager,MID,Nott'm Forest,projected,5.0,0.1,6,2.63,10.559,10.072,1.0,5.0,8.0,13.0,28.108,1.76,2.112,0.031,0.724,True,0.0,10.559,1,6,-1
322.0,Mings,DEF,Aston Villa,projected,4.5,0.2,6,2.45,10.545,7.684,1.0,5.0,9.358,14.717,24.613,1.757,2.343,0.01,0.653,False,0.0,10.545,1,6,33
323.0,Hudson-Odoi,MID,Nott'm Forest,projected,6.0,0.0,6,2.46,10.544,7.339,2.0,5.0,9.0,14.064,25.357,1.757,1.757,0.004,0.655,False,0.0,10.544,1,6,482
324.0,Ramsay,DEF,Liverpool,projected,4.0,0.2,6,2.65,10.466,9.217,0.0,4.0,9.0,14.717,25.972,1.744,2.617,0.021,0.653,True,0.0,10.466,1,6,-1
325.0,Belloumi,MID,Hull,projected,5.0,0.6,6,2.63,10.448,10.167,1.0,4.0,8.0,13.0,31.075,1.741,2.09,0.034,0.727,True,0.0,10.448,1,6,-1
326.0,Thomas-Asante,FWD,Coventry,projected,5.0,0.9,6,2.43,10.41,10.164,1.0,4.0,8.0,13.353,31.054,1.735,2.082,0.03,0.72,True,0.0,10.41,1,6,-1
327.0,Tóth.A,MID,Bournemouth,projected,5.0,0.0,6,2.63,10.403,11.155,0.0,4.0,8.0,13.0,28.084,1.734,2.081,0.029,0.724,True,0.0,10.403,1,6,-1
328.0,Abbott,DEF,Nott'm Forest,projected,4.0,0.2,6,2.65,10.387,8.087,1.0,4.0,9.358,14.717,24.165,1.731,2.597,0.01,0.63,True,0.0,10.387,1,6,-1
329.0,Nmecha,FWD,Leeds,projected,5.5,0.6,6,1.76,10.336,7.473,2.0,4.0,8.627,14.353,25.413,1.723,1.879,0.006,0.66,False,0.0,10.336,1,6,347
330.0,Heaton,GK,Man United,projected,4.0,0.3,6,3.42,10.333,6.829,1.0,5.0,9.51,14.51,22.528,1.722,2.583,0.001,0.631,True,0.0,10.333,1,6,-1
331.0,Bindon,DEF,Nott'm Forest,projected,4.0,0.2,6,2.65,10.32,8.68,1.0,4.0,8.358,14.717,26.717,1.72,2.58,0.019,0.659,True,0.0,10.32,1,6,-1
332.0,Steele,GK,Brighton,projected,4.0,4.6,6,3.42,10.299,6.498,1.0,5.0,9.51,14.51,21.528,1.716,2.575,0.001,0.624,True,0.0,10.299,1,6,-1
333.0,Angulo,MID,Sunderland,projected,5.0,0.1,6,2.63,10.238,8.875,1.0,4.0,8.0,13.0,25.99,1.706,2.048,0.022,0.708,True,0.0,10.238,1,6,-1
334.0,Tanaka,MID,Leeds,projected,5.0,0.3,6,2.31,10.23,6.554,2.0,5.0,9.358,14.0,21.717,1.705,2.046,0.003,0.666,False,0.0,10.23,1,6,345
335.0,A.García,DEF,Aston Villa,projected,4.0,1.6,6,2.65,10.195,8.094,1.0,4.0,8.358,14.358,25.075,1.699,2.549,0.008,0.679,True,0.0,10.195,1,6,-1
336.0,Hughes,MID,Crystal Palace,projected,4.5,11.1,6,3.0,10.193,6.298,2.0,6.0,9.0,13.358,21.717,1.699,2.265,0.004,0.693,False,0.0,10.193,1,6,212
337.0,Moore,MID,Tottenham,projected,5.0,0.1,6,2.63,10.191,10.684,0.95,4.0,8.0,13.0,28.089,1.698,2.038,0.026,0.736,True,0.0,10.191,1,6,-1
338.0,Havertz,FWD,Arsenal,projected,7.5,4.0,6,1.35,10.184,11.116,0.0,2.0,7.353,14.707,31.481,1.697,1.358,0.041,0.649,False,0.0,10.184,1,6,26
339.0,Mosquera,DEF,Arsenal,projected,5.5,16.5,6,1.63,10.136,7.177,1.0,4.0,9.358,14.358,23.357,1.689,1.843,0.007,0.673,False,0.0,10.136,1,6,11
340.0,Jocelin.T,MID,Sunderland,projected,5.0,0.0,6,2.63,10.129,9.054,1.0,4.0,8.0,13.0,24.735,1.688,2.026,0.022,0.721,True,0.0,10.129,1,6,-1
341.0,Grimes,MID,Coventry,projected,5.0,0.2,6,2.63,10.129,9.702,0.95,4.0,8.0,12.0,28.075,1.688,2.026,0.032,0.752,True,0.0,10.129,1,6,-1
342.0,Hjelde,DEF,Sunderland,projected,4.0,0.3,6,2.65,10.123,8.417,0.0,4.0,8.358,14.358,26.075,1.687,2.531,0.015,0.65,True,0.0,10.123,1,6,-1
343.0,Iroegbunam,MID,Everton,projected,5.0,0.1,6,2.73,10.12,5.898,2.0,6.0,9.179,13.0,20.627,1.687,2.024,0.002,0.704,False,0.0,10.12,1,6,240
344.0,Morita,MID,Hull,projected,5.0,0.1,6,2.63,10.097,9.609,1.0,4.0,8.0,13.0,26.108,1.683,2.019,0.026,0.727,True,0.0,10.097,1,6,-1
345.0,Millar,MID,Hull,projected,5.0,0.1,6,2.63,10.075,9.43,1.0,4.0,8.0,13.0,28.376,1.679,2.015,0.023,0.735,True,0.0,10.075,1,6,-1
346.0,Lucky,DEF,Liverpool,projected,4.0,0.1,6,2.65,10.03,8.981,1.0,4.0,8.358,14.0,24.259,1.672,2.507,0.017,0.674,True,0.0,10.03,1,6,-1
