id,player,pos,team,own,cost,nfix,mean,sd,defcon_ev,cs_ev,p5,p25,median,p75,p95,ppm
31,Konsa,DEF,Aston Villa,16.9,4.5,6,17.54,7.09,0.07,6.87,7.0,12.36,16.72,22.08,30.43,3.9
449,Hall,DEF,Newcastle,4.7,5.0,6,17.5,8.5,0.4,5.6,5.0,11.36,16.72,22.24,32.96,3.5
69,Scott,MID,Bournemouth,1.6,6.0,6,17.45,7.94,2.88,0.95,7.0,12.0,16.36,21.72,31.99,2.91
412,Lammens,GK,Man United,18.4,5.0,6,17.42,6.06,0.0,8.2,8.0,13.51,17.02,21.53,28.04,3.48
448,Burn,DEF,Newcastle,2.3,5.0,6,17.42,7.95,0.98,6.06,6.0,11.36,16.72,22.08,31.79,3.48
447,Botman,DEF,Newcastle,0.4,5.0,6,17.41,9.46,3.89,4.27,5.0,10.36,16.13,22.79,34.69,3.48
525,Fernandes,MID,Tottenham,5.4,6.0,6,17.39,6.35,1.59,1.19,9.0,13.0,16.36,20.65,29.09,2.9
500,Romero,DEF,Tottenham,0.8,5.0,6,17.38,8.19,3.59,4.35,6.0,11.36,16.58,22.25,31.69,3.48
503,Van de Ven,DEF,Tottenham,5.5,5.0,6,17.38,7.67,2.24,5.01,7.0,12.0,16.72,21.9,30.61,3.48
-138,Munoz,MID,Liverpool,1.1,6.5,6,17.37,16.07,1.9,0.98,2.0,8.0,13.0,20.36,47.44,2.67
473,Aina,DEF,Nott'm Forest,4.3,4.5,6,17.28,7.38,0.14,6.66,7.0,12.0,16.72,22.08,30.97,3.84
232,O'Brien,DEF,Everton,0.6,5.0,6,17.2,7.53,0.37,6.59,6.0,11.96,16.72,21.61,30.97,3.44
261,Iwobi,MID,Fulham,0.9,5.5,6,17.05,7.47,0.04,1.33,7.0,12.0,15.63,20.99,31.87,3.1
45,McGinn,MID,Aston Villa,2.6,5.5,6,16.92,8.1,0.03,1.33,7.0,11.0,15.63,20.99,32.34,3.08
130,Wieffer,DEF,Brighton,0.5,5.0,6,16.88,9.14,3.15,4.2,4.0,10.36,15.72,21.99,33.97,3.38
464,Wissa,FWD,Newcastle,1.5,6.0,6,16.86,11.1,0.0,0.0,3.0,9.35,14.71,23.06,37.77,2.81
109,Verbruggen,GK,Brighton,16.0,4.5,6,16.71,6.04,0.0,7.6,7.51,12.51,16.02,20.53,27.04,3.71
526,Solanke,FWD,Tottenham,3.9,6.0,6,16.67,9.26,0.0,0.0,4.0,10.0,15.35,22.06,33.41,2.78
238,Grealish,MID,Man City,0.4,6.5,6,16.66,10.15,0.33,1.23,4.0,9.63,14.63,21.36,36.07,2.56
