player,pos,team,cost,own,gw,mean,solio,blended,src,sd,defcon_ev,cs_ev,p5,median,p95,opponent,is_home,lam_for,lam_against,opp_att_strength,opp_def_strength,opp_att_rank,opp_def_rank,own_att_strength,own_def_strength,attack_ease,clean_sheet_prob,player_code,cold_start,minutes_prior,p_start_prior,npxgi_rate90,xa_rate90,defcon_rate90,pen_xg90,exp_minutes_src,npxgi_alpha,npxgi_beta,xa_alpha,xa_beta,defcon_alpha,defcon_beta,start_a,start_b,sub_app_rate,exp_minutes,pen_order,fk_order,corner_order
Bendito Mantato,MID,Man United,4.5,0.2,3,1.652,,1.652,model,3.195,0.091,0.133,0.0,0.0,8.358,Everton,0,1.6877261009850644,1.2340141852439965,-0.10152256896394296,0.008443134987026318,15,7,0.2414384945073154,0.03815348189021553,1.1712516876285253,0.291121612935683,576620,True,0.0,0.4399089870298966,0.17809873519035638,0.08334026452169312,8.189865176177413,0.0,positional fallback,0.2671481027855346,1.5,0.12501039678253967,1.5,12.28479776426612,1.5,2.6394539221793796,3.36054607782062,0.0,83.1,,,
Nmecha,FWD,Leeds,5.5,0.6,3,1.649,,1.649,model,2.39,0.001,0.0,0.0,1.0,7.353,Brighton,0,1.1707158542053697,1.5519038609251665,0.002114258889398704,0.0903677300833893,10,3,-0.0462122466265176,-0.08963999810273936,0.8124558357965718,0.2118442676251022,174594,False,1065.0,0.31439393939393945,0.5129783809453471,0.12390895701624814,4.7858197932053175,0.0,player history,5.788106064999999,11.283333333333333,1.398106065,11.283333333333333,54.0,11.283333333333333,8.3,18.099999999999998,0.6875,76.97619047619048,2.0,,
Sanchez,DEF,Bournemouth,4.5,0.1,3,1.642,,1.642,model,3.256,0.319,0.423,0.0,0.0,7.358,Newcastle,0,1.5864379694796789,1.5444002069268572,0.030854803261021555,-0.06096728233925829,9,15,0.10826347076159326,-0.05559135062668036,1.1009595383910509,0.2134398525830237,494928,True,0.0,0.41563993888011,0.09257432739252648,0.046507627377875595,8.421520428158146,0.0,positional fallback,0.13886149108878973,1.5,0.0697614410668134,1.5,12.63228064223722,1.5,2.4938396332806603,3.50616036671934,0.0,87.5,,,
Nørgaard,MID,Everton,5.0,0.7,3,1.641,,1.641,model,2.444,0.0,0.098,0.0,1.0,8.358,Man United,1,1.2340141852439965,1.6877261009850644,0.2414384945073154,0.03815348189021553,3,5,-0.10152256896394296,0.008443134987026318,0.8563837438912495,0.18493958015848802,128295,False,1515.5,0.48674242424242425,0.19634787374985913,0.060724024330315214,2.4615847015065566,0.0,player history,2.903439642,14.787222222222221,0.897939642,14.787222222222221,36.400000000000006,14.787222222222221,12.85,13.549999999999997,0.265625,85.7627358490566,,,
Palmer,GK,Ipswich,4.0,5.7,3,1.64,,1.64,model,3.156,0.0,0.356,0.0,0.0,10.019,Liverpool,1,1.1039250781607162,2.0917385187258892,0.1540094947008591,-0.01817713701313463,4,11,-0.2756852033521451,-0.2873076154141813,0.7661042334159129,0.12347229022633952,112520,False,585.0,0.7660818713450291,0.007947019867549669,0.003973509933774834,0.0,0.1,player history,0.06,7.55,0.03,7.55,0.0,7.55,6.55,2.000000000000001,0.0,89.95327868852459,1.0,,
Alysson,MID,Aston Villa,5.0,0.0,3,1.638,,1.638,model,3.601,0.1,0.162,0.0,0.0,8.358,Hull,0,2.2722687330250215,0.8739801079048859,-0.4634137271367569,-0.46420343043910733,20,20,0.05576938240209805,0.02468029496173978,1.5769138053548653,0.41728739083660077,653481,True,0.0,0.3752869515953337,0.19982660674671937,0.09350769530701131,8.189865176177413,0.0,positional fallback,0.29973991012007906,1.5,0.14026154296051696,1.5,12.28479776426612,1.5,2.2517217095720024,3.748278290427998,0.0,83.1,,,
Destan,FWD,Hull,4.5,2.4,3,1.638,,1.638,model,2.502,0.007,0.0,0.0,2.0,7.353,Aston Villa,1,0.8739801079048859,2.2722687330250215,0.05576938240209805,0.02468029496173978,8,6,-0.4634137271367569,-0.46420343043910733,0.6065265422747746,0.10307805800892125,500957,True,0.0,0.5371715231270648,0.34296177814343637,0.04848105506296637,4.432345205189561,0.0,positional fallback,0.5144426672151545,1.5,0.07272158259444955,1.5,6.648517807784342,1.5,3.223029138762389,2.776970861237611,0.0,81.5,,,
Mount,MID,Man United,5.5,0.1,3,1.635,,1.635,model,2.535,0.014,0.075,0.0,1.0,7.358,Everton,0,1.6877261009850644,1.2340141852439965,-0.10152256896394296,0.008443134987026318,15,7,0.2414384945073154,0.03815348189021553,1.1712516876285253,0.291121612935683,184341,False,1320.5,0.3570159857904085,0.33036975013187087,0.1309809612508896,7.279273244861221,0.0,player history,4.384190123,13.270555555555555,1.7381901229999999,13.270555555555555,96.6,13.270555555555555,10.049999999999999,18.1,0.5797101449275363,76.87034883720929,,3.0,
Nketiah,FWD,Crystal Palace,5.5,0.5,3,1.633,,1.633,model,2.199,0.0,0.0,0.0,1.0,6.353,Fulham,0,1.122772550287812,1.2855875910958963,-0.09520514737496588,-0.0035171594464234145,14,9,-0.18395913903091154,0.0026400553296110373,0.7791840415219251,0.2764880739616501,205533,False,927.0,0.29046563192904656,0.5042643751224289,0.09040541332027423,3.9862879529872672,0.0,player history,5.14853927,10.21,0.92303927,10.21,40.7,10.21,6.55,16.0,0.7547169811320755,78.32377049180327,,,
Ji-soo,DEF,Brentford,4.5,0.0,3,1.629,,1.629,model,2.913,0.223,0.581,0.0,0.0,7.896,Sunderland,1,1.4424725881194753,1.124916040469881,-0.20262032259882085,0.04642591236869285,17,4,0.06619017754922284,-0.025658339285556685,1.0010501420856874,0.32467972617126367,570241,True,0.0,0.3862747784253992,0.09257432739252648,0.046507627377875595,8.421520428158146,0.0,positional fallback,0.13886149108878973,1.5,0.0697614410668134,1.5,12.63228064223722,1.5,2.317648670552395,3.6823513294476045,0.0,87.5,,,
Trafford,GK,Leeds,5.0,2.4,3,1.628,,1.628,model,2.23,0.0,0.652,0.0,1.0,6.51,Brighton,0,1.1707158542053697,1.5519038609251665,0.002114258889398704,0.0903677300833893,10,3,-0.0462122466265176,-0.08963999810273936,0.8124558357965718,0.2118442676251022,432720,False,360.0,0.28915662650602414,0.010451413448275862,0.005278999655172414,4.948275862068965,0.0,player history,0.060618198,5.8,0.030618198,5.8,28.7,5.8,4.8,11.799999999999997,0.0,89.94123711340205,,,
Hackney,MID,Everton,5.5,0.3,3,1.622,,1.622,model,2.72,0.097,0.094,0.0,0.0,8.358,Man United,1,1.2340141852439965,1.6877261009850644,0.2414384945073154,0.03815348189021553,3,5,-0.10152256896394296,0.008443134987026318,0.8563837438912495,0.18493958015848802,244860,True,0.0,0.4735454664759691,0.22393763537834674,0.10479031054794619,8.189865176177413,0.0,positional fallback,0.3359064530675201,1.5,0.15718546582191928,1.5,12.28479776426612,1.5,2.841272798855815,3.1587272011441856,0.0,83.1,,,
Lerma,MID,Crystal Palace,5.0,0.1,3,1.619,,1.619,model,1.967,0.051,0.134,0.0,1.0,5.627,Fulham,0,1.122772550287812,1.2855875910958963,-0.09520514737496588,-0.0035171594464234145,14,9,-0.18395913903091154,0.0026400553296110373,0.7791840415219251,0.2764880739616501,152551,False,2860.0,0.5498059508408797,0.16158980574823947,0.07881911912852113,7.098591549295774,0.0,player history,4.0792448740000005,25.244444444444444,1.9897448739999999,25.244444444444444,179.2,25.244444444444444,21.25,17.4,0.40404040404040403,86.75210843373495,,,
Iling Jr,MID,Aston Villa,5.0,0.0,3,1.615,,1.615,model,3.461,0.099,0.159,0.0,0.0,8.358,Hull,0,2.2722687330250215,0.8739801079048859,-0.4634137271367569,-0.46420343043910733,20,20,0.05576938240209805,0.02468029496173978,1.5769138053548653,0.41728739083660077,469247,True,0.0,0.3752869515953337,0.19982660674671937,0.09350769530701131,8.189865176177413,0.0,positional fallback,0.29973991012007906,1.5,0.14026154296051696,1.5,12.28479776426612,1.5,2.2517217095720024,3.748278290427998,0.0,83.1,,,
McNeil,MID,Crystal Palace,5.5,0.2,3,1.611,,1.611,model,2.275,0.022,0.114,0.0,1.0,6.627,Fulham,0,1.122772550287812,1.2855875910958963,-0.09520514737496588,-0.0035171594464234145,14,9,-0.18395913903091154,0.0026400553296110373,0.7791840415219251,0.2764880739616501,433154,False,1846.5,0.5296108291032149,0.2908186218489009,0.18861069250263995,5.926850340789095,0.0,player history,5.049095973,17.361666666666665,3.2745959730000003,17.361666666666665,102.89999999999999,17.361666666666665,15.649999999999999,13.899999999999999,0.3561643835616438,83.12182539682539,,,
