player_code,understat_player_id,name_fpl,name_understat,team,match_method,confidence,verified
486520,8000,Gruev,Ilia Gruev,Leeds,exact_name_team,1.0,True
458249,8044,Zirkzee,Joshua Zirkzee,Man United,exact_name_team,1.0,True
225796,8067,James,Reece James,Chelsea,exact_name_team,1.0,True
470313,8117,Woltemade,Nick Woltemade,Newcastle,exact_name_team,1.0,True
466075,8129,Calafiori,Riccardo Calafiori,Arsenal,exact_name_team,1.0,True
215136,8204,N.Williams,Neco Williams,Nott'm Forest,exact_name_team,1.0,True
489888,8211,Adli,Amine Adli,Bournemouth,exact_name_team,1.0,True
244723,8214,Mitchell,Tyrick Mitchell,Crystal Palace,exact_name_team,1.0,True
250199,8252,Dominguez,Nicolás Domínguez,Nott'm Forest,exact_name_team,1.0,True
223094,8260,Haaland,Erling Haaland,Man City,exact_name_team,1.0,True
475168,8272,João Pedro,João Pedro,Chelsea,exact_name_team,1.0,True
207189,8285,Berge,Sander Berge,Fulham,exact_name_team,1.0,True
465642,8378,Thiaw,Malick Thiaw,Newcastle,exact_name_team,1.0,True
243016,8379,Mac Allister,Alexis Mac Allister,Liverpool,exact_name_team,1.0,True
438234,8393,Marmoush,Omar Marmoush,Man City,exact_name_team,1.0,True
494595,8397,Wirtz,Florian Wirtz,Liverpool,exact_name_team,1.0,True
470315,8401,Netz,Luca Netz,Nott'm Forest,exact_name_team,1.0,True
427623,8430,Richards,Chris Richards,Crystal Palace,exact_name_team,1.0,True
480455,8476,Branthwaite,Jarrad Branthwaite,Everton,exact_name_team,1.0,True
246301,8489,J.Cuenca,Jorge Cuenca,Fulham,exact_name_team,1.0,True
244851,8497,Palmer,Cole Palmer,Chelsea,exact_name_team,1.0,True
220237,8635,Botman,Sven Botman,Newcastle,exact_name_team,1.0,True
494521,8640,Truffert,Adrien Truffert,Bournemouth,exact_name_team,1.0,True
484420,8651,E.Le Fée,Enzo Le Fée,Sunderland,exact_name_team,1.0,True
456512,8662,Ndoye,Dan Ndoye,Nott'm Forest,exact_name_team,1.0,True
493362,8700,Xavi,Xavi Simons,Tottenham,exact_name_team,1.0,True
232413,8706,Eze,Eberechi Eze,Arsenal,exact_name_team,1.0,True
221399,8720,Harrison,Jack Harrison,Leeds,exact_name_team,1.0,True
184254,8858,Vicario,Guglielmo Vicario,Tottenham,exact_name_team,1.0,True
440089,8859,Damsgaard,Mikkel Damsgaard,Brentford,exact_name_team,1.0,True
178301,8865,Watkins,Ollie Watkins,Aston Villa,exact_name_team,1.0,True
463034,8868,Delap,Liam Delap,Chelsea,exact_name_team,1.0,True
476887,8920,Bakwa,Dilane Bakwa,Nott'm Forest,exact_name_team,1.0,True
169528,8940,Robinson,Antonee Robinson,Fulham,exact_name_team,1.0,True
232653,8941,J.Ramsey,Jacob Ramsey,Newcastle,exact_name_team,1.0,True
472713,8942,Hickey,Aaron Hickey,Brentford,exact_name_team,1.0,True
171314,8961,Rúben,Rúben Dias,Man City,exact_name_team,1.0,True
248875,8981,Doku,Jéremy Doku,Man City,exact_name_team,1.0,True
201895,8986,Alderete,Omar Alderete,Sunderland,exact_name_team,1.0,True
510663,8995,Ekitiké,Hugo Ekitike,Liverpool,exact_name_team,1.0,True
482609,9017,Gusto,Malo Gusto,Chelsea,exact_name_team,1.0,True
232787,9040,Gallagher,Conor Gallagher,Tottenham,exact_name_team,1.0,True
215059,9098,Sánchez,Robert Sánchez,Chelsea,exact_name_team,1.0,True
513418,9156,Schade,Kevin Schade,Brentford,exact_name_team,1.0,True
226182,9205,Bogle,Jayden Bogle,Leeds,exact_name_team,1.0,True
508479,9272,Jörgensen,Filip Jorgensen,Chelsea,exact_name_team,1.0,True
440993,9307,Ndiaye,Iliman Ndiaye,Everton,exact_name_team,1.0,True
216094,9328,Frimpong,Jeremie Frimpong,Liverpool,exact_name_team,1.0,True
490145,9332,Scarlett,Dane Scarlett,Tottenham,exact_name_team,1.0,True
486672,9453,Caicedo,Moisés Caicedo,Chelsea,exact_name_team,1.0,True
244858,9501,Carvalho,Fabio Carvalho,Brentford,exact_name_team,1.0,True
449434,9524,Elanga,Anthony Elanga,Newcastle,exact_name_team,1.0,True
490094,9554,Iroegbunam,Tim Iroegbunam,Everton,exact_name_team,1.0,True
538207,9556,Osula,William Osula,Newcastle,exact_name_team,1.0,True
72147,9614,M.Bizot,Marco Bizot,Aston Villa,exact_name_team,1.0,True
533463,9662,O.Dango,Dango Ouattara,Brentford,exact_name_team,1.0,True
449871,9667,Onana,Amadou Onana,Aston Villa,exact_name_team,1.0,True
154561,9676,Raya,David Raya,Arsenal,exact_name_team,1.0,True
191866,9677,Ajer,Kristoffer Ajer,Brentford,exact_name_team,1.0,True
231065,9678,Pinnock,Ethan Pinnock,Brentford,exact_name_team,1.0,True
194010,9679,Henry,Rico Henry,Brentford,exact_name_team,1.0,True
204580,9680,Janelt,Vitaly Janelt,Brentford,exact_name_team,1.0,True
449027,9693,Mamardashvili,Giorgi Mamardashvili,Liverpool,exact_name_team,1.0,True
432830,9733,Collins,Nathan Collins,Brentford,exact_name_team,1.0,True
215413,9739,Dewsbury-Hall,Kiernan Dewsbury-Hall,Everton,exact_name_team,1.0,True
547027,9767,Diarra,Habib Diarra,Sunderland,exact_name_team,1.0,True
511499,9780,Tel,Mathys Tel,Tottenham,exact_name_team,1.0,True
424876,9788,Szoboszlai,Dominik Szoboszlai,Liverpool,exact_name_team,1.0,True
441264,9789,Brobbey,Brian Brobbey,Sunderland,exact_name_team,1.0,True
477424,9790,Gvardiol,Josko Gvardiol,Man City,exact_name_team,1.0,True
465694,9802,N.Gonzalez,Nico González,Man City,exact_name_team,1.0,True
466525,9910,Stach,Anton Stach,Leeds,exact_name_team,1.0,True
448104,9911,Hincapie,Piero Hincapié,Arsenal,exact_name_team,1.0,True
243526,9944,Gudmundsson,Gabriel Gudmundsson,Leeds,exact_name_team,1.0,True
486385,9983,Beto,Beto,Everton,exact_name_team,1.0,True
514356,10004,Lavia,Romeo Lavia,Chelsea,exact_name_team,1.0,True
500040,10024,Mosquera,Cristhian Mosquera,Arsenal,exact_name_team,1.0,True
515597,10025,Bogarde,Lamare Bogarde,Aston Villa,exact_name_team,1.0,True
491279,10050,Van de Ven,Micky van de Ven,Tottenham,exact_name_team,1.0,True
492777,10120,Bradley,Conor Bradley,Liverpool,exact_name_team,1.0,True
432714,10126,McAtee,James McAtee,Nott'm Forest,exact_name_team,1.0,True
550090,10169,Coppola,Diego Coppola,Brighton,exact_name_team,1.0,True
547701,10184,Gray,Archie Gray,Tottenham,exact_name_team,1.0,True
487838,10216,Hall,Lewis Hall,Newcastle,exact_name_team,1.0,True
224967,10291,Mykolenko,Vitalii Mykolenko,Everton,exact_name_team,1.0,True
243571,10292,Patterson,Nathan Patterson,Everton,exact_name_team,1.0,True
503301,10348,Hutchinson,Omari Hutchinson,Nott'm Forest,exact_name_team,1.0,True
183656,10405,Dasilva,Josh Dasilva,Brentford,exact_name_team,1.0,True
535301,10527,Baleba,Carlos Baleba,Brighton,exact_name_team,1.0,True
463936,10542,Gittens,Jamie Bynoe-Gittens,Chelsea,exact_name_team,1.0,True
550864,10564,Yoro,Leny Yoro,Man United,exact_name_team,1.0,True
496661,10586,Dibling,Tyler Dibling,Everton,exact_name_team,1.0,True
230001,10696,Mazraoui,Noussair Mazraoui,Man United,exact_name_team,1.0,True
441266,10697,Gravenberch,Ryan Gravenberch,Liverpool,exact_name_team,1.0,True
244042,10717,Muniz,Rodrigo Muniz,Fulham,exact_name_team,1.0,True
444765,10721,Van den Berg,Sepp van den Berg,Brentford,exact_name_team,1.0,True
201658,10741,Tavernier,Marcus Tavernier,Bournemouth,exact_name_team,1.0,True
158499,10744,Christie,Ryan Christie,Bournemouth,exact_name_team,1.0,True
463981,10747,Hill,James Hill,Bournemouth,exact_name_team,1.0,True
427637,10751,Aaronson,Brenden Aaronson,Leeds,exact_name_team,1.0,True
232859,10764,Spence,Djed Spence,Tottenham,exact_name_team,1.0,True
221820,10802,Martinez,Lisandro Martínez,Man United,exact_name_team,1.0,True
460028,10805,Colwill,Levi Colwill,Chelsea,exact_name_team,1.0,True
249231,10809,Lewis-Potter,Keane Lewis-Potter,Brentford,exact_name_team,1.0,True
550839,10822,Odobert,Wilson Odobert,Tottenham,exact_name_team,1.0,True
477064,10847,Lewis,Rico Lewis,Man City,exact_name_team,1.0,True
465351,11000,Matheus N.,Matheus Nunes,Man City,exact_name_team,1.0,True
204968,11003,Yates,Ryan Yates,Nott'm Forest,exact_name_team,1.0,True
247412,11070,Strand Larsen,Jørgen Strand Larsen,Crystal Palace,exact_name_team,1.0,True
499175,11132,Nwaneri,Ethan Nwaneri,Arsenal,exact_name_team,1.0,True
492859,11155,Gnonto,Wilfried Gnonto,Leeds,exact_name_team,1.0,True
515621,11167,Chadi Riad,Chadi Riad,Crystal Palace,exact_name_team,1.0,True
516895,11174,Mainoo,Kobbie Mainoo,Man United,exact_name_team,1.0,True
574458,11253,M.Sarr,Mamadou Sarr,Chelsea,exact_name_team,1.0,True
532529,11269,Hinshelwood,Jack Hinshelwood,Brighton,exact_name_team,1.0,True
607464,11281,Kayode,Michael Kayode,Brentford,exact_name_team,1.0,True
243298,11296,Gakpo,Cody Gakpo,Liverpool,exact_name_team,1.0,True
502697,11297,Alcaraz,Carlos Alcaraz,Everton,exact_name_team,1.0,True
513466,11331,Röhl,Merlin Röhl,Everton,exact_name_team,1.0,True
448047,11356,Enzo,Enzo Fernández,Chelsea,exact_name_team,1.0,True
248857,11357,Madueke,Noni Madueke,Arsenal,exact_name_team,1.0,True
509416,11385,Ayari,Yasin Ayari,Brighton,exact_name_team,1.0,True
547719,11386,L.Miley,Lewis Miley,Newcastle,exact_name_team,1.0,True
461199,11461,Mundle,Romaine Mundle,Sunderland,exact_name_team,1.0,True
472769,11592,O'Reilly,Nico O'Reilly,Man City,exact_name_team,1.0,True
499309,11633,Marc Guiu,Marc Guiu,Chelsea,exact_name_team,1.0,True
445122,11707,J.Timber,Jurriën Timber,Arsenal,exact_name_team,1.0,True
544877,11709,Kerkez,Milos Kerkez,Liverpool,exact_name_team,1.0,True
535818,11710,Adingra,Simon Adingra,Sunderland,exact_name_team,1.0,True
489639,11711,Verbruggen,Bart Verbruggen,Brighton,exact_name_team,1.0,True
232892,11728,Bassey,Calvin Bassey,Fulham,exact_name_team,1.0,True
232112,11766,Ugarte,Manuel Ugarte,Man United,exact_name_team,1.0,True
441302,11807,Maatsen,Ian Maatsen,Aston Villa,exact_name_team,1.0,True
477555,11903,Bobb,Oscar Bobb,Fulham,exact_name_team,1.0,True
596777,11944,Dorgu,Patrick Dorgu,Man United,exact_name_team,1.0,True
433036,11965,Reijnders,Tijjani Reijnders,Man City,exact_name_team,1.0,True
435997,11966,Okafor,Noah Okafor,Leeds,exact_name_team,1.0,True
485711,11974,Šeško,Benjamin Sesko,Man United,exact_name_team,1.0,True
512462,12014,O'Brien,Jake O'Brien,Everton,exact_name_team,1.0,True
460842,12027,Kudus,Mohammed Kudus,Tottenham,exact_name_team,1.0,True
575476,12123,Murillo,Murillo,Nott'm Forest,exact_name_team,1.0,True
503139,12149,Scott,Alex Scott,Bournemouth,exact_name_team,1.0,True
545477,12199,A.Murphy,Alex Murphy,Newcastle,exact_name_team,1.0,True
499169,12272,Lewis-Skelly,Myles Lewis-Skelly,Arsenal,exact_name_team,1.0,True
247348,12408,Muñoz,Daniel Muñoz,Crystal Palace,exact_name_team,1.0,True
