team,player,role,as_of
Leeds,Bijol,start,2026-08-28
Leeds,Muharemovic,start,2026-08-28
Leeds,Justin,start,2026-08-28
Leeds,Ampadu,start,2026-08-28
Leeds,Stach,start,2026-08-28
Leeds,Bogle,start,2026-08-28
Leeds,Wilson,start,2026-08-28
Leeds,Aaronson,start,2026-08-28
Leeds,Calvert-Lewin,start,2026-08-28
Brentford,Kelleher,start,2026-08-28
Brentford,Lewis-Potter,start,2026-08-28
Brentford,Collins,start,2026-08-28
Brentford,Ajer,start,2026-08-28
Brentford,Kayode,start,2026-08-28
Brentford,Sangare,start,2026-08-28
Brentford,Janelt,start,2026-08-28
Brentford,Schade,start,2026-08-28
Brentford,Jensen,start,2026-08-28
Brentford,O.Dango,start,2026-08-28
Brentford,Thiago,start,2026-08-28
Chelsea,Sánchez,start,2026-08-28
Chelsea,Fofana,start,2026-08-28
Chelsea,Lacroix,start,2026-08-28
Chelsea,Colwill,start,2026-08-28
Chelsea,Hato,start,2026-08-28
Chelsea,Lavia,start,2026-08-28
Chelsea,James,start,2026-08-28
Chelsea,Gusto,start,2026-08-28
Chelsea,Palmer,start,2026-08-28
Chelsea,Rogers,start,2026-08-28
Chelsea,João Pedro,start,2026-08-28
Brighton,Verbruggen,start,2026-08-28
Brighton,Boscagli,start,2026-08-28
Brighton,Dunk,start,2026-08-28
Brighton,Vuskovic,start,2026-08-28
Brighton,Kadioglu,start,2026-08-28
Brighton,Gross,start,2026-08-28
Brighton,Ayari,start,2026-08-28
Brighton,De Cuyper,start,2026-08-28
Brighton,O'Riley,start,2026-08-28
Brighton,Gomez,start,2026-08-28
Brighton,Kostoulas,start,2026-08-28
Man United,Lammens,start,2026-08-28
Man United,Shaw,start,2026-08-28
Man United,Maguire,start,2026-08-28
Man United,Martinez,start,2026-08-28
Man United,Dalot,start,2026-08-28
Man United,Andrey Santos,start,2026-08-28
Man United,Tielemans,start,2026-08-28
Man United,Rashford,start,2026-08-28
Man United,B.Fernandes,start,2026-08-28
Man United,Mbeumo,start,2026-08-28
Man United,Cunha,start,2026-08-28
Ipswich,Scherpen,start,2026-08-28
Ipswich,Davis,start,2026-08-28
Ipswich,Diop,start,2026-08-28
Ipswich,Greaves,start,2026-08-28
Ipswich,O'Shea,start,2026-08-28
Ipswich,Lukic,start,2026-08-28
Ipswich,Nunez,start,2026-08-28
Ipswich,Maeda,start,2026-08-28
Ipswich,Enciso,start,2026-08-28
Ipswich,Fatawu,start,2026-08-28
Ipswich,Emersonn,start,2026-08-28
Aston Villa,Suzuki,start,2026-08-28
Aston Villa,Maatsen,start,2026-08-28
Aston Villa,Lindelof,start,2026-08-28
Aston Villa,Pau,start,2026-08-28
Aston Villa,Cash,start,2026-08-28
Aston Villa,Kamara,start,2026-08-28
Aston Villa,Goretzka,start,2026-08-28
Aston Villa,Hemmings,start,2026-08-28
Aston Villa,Barkley,start,2026-08-28
Aston Villa,McGinn,start,2026-08-28
Aston Villa,Buendia,start,2026-08-28
Arsenal,Raya,start,2026-08-28
Arsenal,Calafiori,start,2026-08-28
Arsenal,Gabriel,start,2026-08-28
Arsenal,Mosquera,start,2026-08-28
Arsenal,White,start,2026-08-28
Arsenal,Rice,start,2026-08-28
Arsenal,Lewis-Skelly,start,2026-08-28
Arsenal,Tzolis,start,2026-08-28
Arsenal,Odegaard,start,2026-08-28
Arsenal,Saka,start,2026-08-28
Arsenal,Havertz,start,2026-08-28
